oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
1-3,85W-140,438.0,9559,14,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,759,<1,<1,<1,<1,<1,0.0,N,359.5,6,4,16,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,341.0,8319,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,1,<1,1 to 1129,1 to 366,889,<1,<1,<1,<1,<1,0.0,N,317.9,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,308.0,9940,3,1 to 192,1 to 71,2,1 to 17,<1,<1,1 to 12,1 to 98,2,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1080,<1,<1,<1,<1,<1,0.0,N,119.6,19,11,23,,,,,,,,,
1-1,30,172.0,10106,32,1 to 192,1 to 71,<1,1 to 17,<1,1 to 37,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,832,<1,<1,<1,<1,<1,0.0,N,109.7,11,4,15,18 to 23,18 to 22,45279 to 60372,19612 to 29418,7782 to 15564,4462 to 8924,3226 to 4839,0 to 145,0 to 16
1-1,30,358.0,8651,0,1 to 192,71 to 141,<1,<1,<1,<1,1 to 12,1 to 98,<1,1 to 15,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,849,<1,<1,<1,<1,<1,0.0,N,102.1,11,4,15,12 to 18,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,128.0,9223,3,<1,<1,<1,<1,<1,<1,12 to 23,1 to 98,1,<1,<1,<1,1 to 286,3385 to 4514,731 to 1096,824,<1,<1,<1,<1,<1,0.0,N,102.8,11,3,15,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,728.0,8706,12,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,1,<1,1 to 1129,1 to 366,836,<1,<1,<1,<1,<1,0.0,N,337.1,6,5,16,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,830.0,9123,149,1 to 192,<1,<1,<1,<1,1 to 37,1 to 12,1 to 98,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,789,<1,<1,<1,<1,<1,0.0,N,309.2,6,4,15,18 to 23,18 to 22,30186 to 45279,19612 to 29418,7782 to 15564,4462 to 8924,0 to 1613,0 to 145,0 to 16
2-2,15W-40,232.0,10170,4,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,1,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,988,<1,<1,<1,<1,<1,0.0,N,114.6,18,10,22,,,,,,,,,
2-1,75W-90,89.0,89,4,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1508,<1,<1,<1,<1,<1,0.0,N,95.5,53,4,63,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,161.0,9599,5,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,1006,<1,<1,<1,<1,<1,0.0,N,105.7,14,8,19,,,,,,,,,
1-3,85W-140,1228.0,9934,7,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,841,<1,<1,<1,<1,<1,0.0,N,333.3,6,5,17,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
